Order ID,Date,Product,Category,Region,Quantity,Unit Price,Discount,Revenue,Cost,Profit
10001,2025-01-01,Air Fryer,Home & Kitchen,East,3,6391,0.05,18214.35,10785.172593356527,7429.177406643472
10002,2025-01-01,Bluetooth Speaker,Electronics,East,5,4971,0.0,24855.0,18038.26490868881,6816.735091311191
10003,2025-01-01,Power Bank,Electronics,West,2,7111,0.15,12088.699999999999,8664.213155867876,3424.486844132123
10004,2025-01-01,Face Serum,Beauty,West,1,974,0.05,925.3,543.7648907005603,381.5351092994397
10005,2025-01-01,Storage Set,Home & Kitchen,East,3,3099,0.05,8832.15,6270.401970281219,2561.7480297187803
10006,2025-01-01,Bluetooth Speaker,Electronics,East,5,4688,0.0,23440.0,18897.306788168895,4542.693211831105
10007,2025-01-01,Hoodie,Apparel,South,1,4117,0.0,4117.0,3024.9365899406484,1092.0634100593516
10008,2025-01-01,Coffee Maker,Home & Kitchen,West,5,1975,0.0,9875.0,7855.725522042552,2019.2744779574477
10009,2025-01-01,Power Bank,Electronics,West,2,2821,0.05,5359.9,3739.129355088052,1620.7706449119478
10010,2025-01-01,Bluetooth Speaker,Electronics,South,2,7475,0.15,12707.5,10059.300010001023,2648.199989998977
10011,2025-01-01,Body Lotion,Beauty,East,4,1516,0.15,5154.4,4010.247622799199,1144.1523772008009
10012,2025-01-01,Running Shoes,Sports,North,2,1279,0.0,2558.0,1611.5242594495817,946.4757405504183
10013,2025-01-01,Wireless Earbuds,Electronics,East,1,7263,0.0,7263.0,4570.18324550382,2692.81675449618
10014,2025-01-01,Bluetooth Speaker,Electronics,North,3,6314,0.1,17047.8,9717.110571734756,7330.689428265243
10015,2025-01-01,Air Fryer,Home & Kitchen,West,1,6075,0.0,6075.0,3445.5015840566502,2629.4984159433498
10016,2025-01-01,Storage Set,Home & Kitchen,North,3,3931,0.05,11203.35,8845.57631747647,2357.7736825235297
10017,2025-01-01,Air Fryer,Home & Kitchen,East,3,5040,0.1,13608.0,8351.446352744824,5256.553647255176
10018,2025-01-01,Bluetooth Speaker,Electronics,North,2,3284,0.0,6568.0,5200.911330023592,1367.0886699764078
10019,2025-01-01,Air Fryer,Home & Kitchen,West,4,2957,0.0,11828.0,8435.643165766467,3392.356834233533
10020,2025-01-01,Face Serum,Beauty,West,5,1683,0.05,7994.25,5896.494301757218,2097.7556982427823
10021,2025-01-01,Hoodie,Apparel,North,1,3760,0.1,3384.0,2595.4991032211824,788.5008967788176
10022,2025-01-01,Smart Watch,Electronics,South,3,3463,0.1,9350.1,7404.761681121956,1945.3383188780444
10023,2025-01-01,Air Fryer,Home & Kitchen,North,1,2506,0.0,2506.0,1931.7851509184773,574.2148490815227
10024,2025-01-01,Jeans,Apparel,South,3,1348,0.05,3841.7999999999997,2831.244202812617,1010.5557971873827
10025,2025-01-01,Power Bank,Electronics,East,3,5245,0.0,15735.0,11025.318450470573,4709.681549529427
10026,2025-01-01,Mixer Grinder,Home & Kitchen,North,2,5859,0.0,11718.0,8647.909236666892,3070.090763333108
10027,2025-01-01,Yoga Mat,Sports,North,1,1598,0.05,1518.1,1040.9965967942082,477.10340320579166
10028,2025-01-01,Wireless Earbuds,Electronics,West,1,8328,0.0,8328.0,4906.204813589441,3421.795186410559
10029,2025-01-01,Storage Set,Home & Kitchen,South,4,4710,0.1,16956.0,10413.733192902486,6542.266807097514
10030,2025-01-01,Fitness Band,Sports,North,4,1097,0.0,4388.0,3380.675826115397,1007.3241738846032
10031,2025-01-01,Yoga Mat,Sports,West,3,4297,0.05,12246.449999999999,9573.746510006964,2672.703489993035
10032,2025-01-01,Storage Set,Home & Kitchen,East,2,3186,0.1,5734.8,3694.013020058565,2040.7869799414352
10033,2025-01-01,Wireless Earbuds,Electronics,North,2,4719,0.0,9438.0,6060.025739727333,3377.9742602726674
10034,2025-01-01,Bluetooth Speaker,Electronics,East,2,7530,0.0,15060.0,8994.401724557496,6065.598275442504
10035,2025-01-01,Sneakers,Apparel,West,1,2749,0.15,2336.65,1894.2362243410191,442.41377565898097
10036,2025-01-01,Body Lotion,Beauty,East,1,2182,0.1,1963.8,1555.7611846936152,408.0388153063848
10037,2025-01-01,Sneakers,Apparel,North,4,1286,0.15,4372.4,3331.9523349912633,1040.4476650087363
10038,2025-01-01,Moisturizer,Beauty,East,1,598,0.15,508.3,318.5305984939446,189.76940150605543
10039,2025-01-01,Mixer Grinder,Home & Kitchen,South,3,4991,0.15,12727.05,7604.410061513546,5122.6399384864535
10040,2025-01-01,Smart Watch,Electronics,North,4,3327,0.05,12642.599999999999,9852.255810168695,2790.344189831303
10041,2025-01-01,Face Serum,Beauty,West,4,1454,0.0,5816.0,3615.2525820179676,2200.7474179820324
10042,2025-01-01,Smart Watch,Electronics,South,5,2362,0.1,10629.0,7657.210563045725,2971.7894369542746
10043,2025-01-01,Dumbbell Set,Sports,North,4,1859,0.1,6692.400000000001,4096.752810078543,2595.6471899214575
10044,2025-01-01,Storage Set,Home & Kitchen,East,1,1216,0.15,1033.6,699.6283554084804,333.9716445915195
10045,2025-01-01,Smart Watch,Electronics,East,4,7664,0.15,26057.6,16658.690967525243,9398.909032474756
10046,2025-01-01,Hair Dryer,Beauty,East,4,1492,0.0,5968.0,3774.9879489985933,2193.0120510014067
10047,2025-01-01,Wireless Earbuds,Electronics,West,3,1927,0.0,5781.0,3795.6120697989004,1985.3879302010996
10048,2025-01-01,Jeans,Apparel,West,2,4059,0.05,7712.099999999999,4988.453357349219,2723.6466426507804
10049,2025-01-01,Smart Watch,Electronics,South,2,2584,0.1,4651.2,2729.7323469368544,1921.4676530631455
10050,2025-01-01,Running Shoes,Sports,North,2,3706,0.0,7412.0,4589.331583798974,2822.668416201026
10051,2025-01-01,Body Lotion,Beauty,South,1,535,0.1,481.5,349.32356082076336,132.17643917923664
10052,2025-01-01,Fitness Band,Sports,South,4,2066,0.0,8264.0,4754.900022728135,3509.099977271865
10053,2025-01-01,Moisturizer,Beauty,East,1,1074,0.15,912.9,708.8778463905629,204.02215360943705
10054,2025-01-01,T-Shirt,Apparel,West,2,1537,0.0,3074.0,2136.46767292468,937.5323270753202
10055,2025-01-01,Storage Set,Home & Kitchen,North,4,4251,0.15,14453.4,9733.809797454323,4719.590202545676
10056,2025-02-01,Sneakers,Apparel,West,3,3570,0.0,10710.0,6274.359937499996,4435.640062500004
10057,2025-02-01,Hoodie,Apparel,South,3,1356,0.0,4068.0,2713.5618373291836,1354.4381626708164
10058,2025-02-01,Dumbbell Set,Sports,North,2,1016,0.0,2032.0,1352.5904535311408,679.4095464688592
10059,2025-02-01,Yoga Mat,Sports,South,2,1412,0.0,2824.0,1736.033065610337,1087.966934389663
10060,2025-02-01,Wireless Earbuds,Electronics,West,5,6792,0.15,28866.0,21627.335747281813,7238.664252718187
10061,2025-02-01,Moisturizer,Beauty,North,3,653,0.0,1959.0,1478.2975432079186,480.7024567920814
10062,2025-02-01,Smart Watch,Electronics,West,5,4918,0.0,24590.0,19204.15945542428,5385.84054457572
10063,2025-02-01,Fitness Band,Sports,West,2,3379,0.1,6082.2,3913.908878267087,2168.291121732913
10064,2025-02-01,Air Fryer,Home & Kitchen,East,2,4049,0.0,8098.0,4487.362765163315,3610.637234836685
10065,2025-02-01,Sneakers,Apparel,North,5,1215,0.05,5771.25,4644.994794161742,1126.255205838258
10066,2025-02-01,Sneakers,Apparel,West,3,1551,0.05,4420.349999999999,2894.471171992889,1525.8788280071103
10067,2025-02-01,Face Serum,Beauty,North,3,2136,0.05,6087.599999999999,4696.676222618332,1390.9237773816676
10068,2025-02-01,Hair Dryer,Beauty,West,5,511,0.0,2555.0,1417.8203264257218,1137.1796735742782
10069,2025-02-01,Bluetooth Speaker,Electronics,East,1,5985,0.0,5985.0,4657.0262587610905,1327.9737412389095
10070,2025-02-01,Smart Watch,Electronics,East,1,5774,0.0,5774.0,4261.899306059403,1512.100693940597
10071,2025-02-01,Face Serum,Beauty,West,4,1228,0.1,4420.8,2768.080978374273,1652.7190216257272
10072,2025-02-01,Wireless Earbuds,Electronics,West,3,2922,0.0,8766.0,5701.7998458160755,3064.2001541839245
10073,2025-02-01,Fitness Band,Sports,East,5,4751,0.0,23755.0,17881.224398154493,5873.7756018455075
10074,2025-02-01,Yoga Mat,Sports,South,1,4852,0.05,4609.4,3563.7277219547964,1045.6722780452033
10075,2025-02-01,Coffee Maker,Home & Kitchen,East,1,1595,0.15,1355.75,1055.7613657540508,299.98863424594924
10076,2025-02-01,Storage Set,Home & Kitchen,South,4,6146,0.05,23354.8,13370.314506977424,9984.485493022576
10077,2025-02-01,Power Bank,Electronics,North,4,4738,0.0,18952.0,15265.315323707324,3686.684676292676
10078,2025-02-01,Running Shoes,Sports,North,5,3882,0.15,16498.5,9323.05836626995,7175.44163373005
10079,2025-02-01,Yoga Mat,Sports,East,3,1853,0.05,5281.05,3048.766655359331,2232.2833446406694
10080,2025-02-01,Wireless Earbuds,Electronics,West,2,7312,0.1,13161.6,9748.604978174593,3412.995021825407
10081,2025-02-01,Wireless Earbuds,Electronics,South,3,5519,0.0,16557.0,10763.26494782636,5793.735052173641
